"jerarquia";"cod_especie";"nombre_corto";"nombre_largo";"cotiza";"fecha_emision";"fecha_vencimiento";"diasmes";"diasanio";"cod_especie_sab";"cod_emisor";"tipo_especie";"cod_especie_mae";"isin";"pais_origen";"cod_tip_flujo";"tipo_moneda";"cod_moneda_pago";"cod_tip_emisor";"partition_date"
"002004001000000";ACCION;ACCIONES;;;;;;;;;B;;;;XXXX;;;;"2024-03-27"
"001080000000000";ARP;Pesos;Pesos;ARS;;;REA;"365";PAR;RA;M;;;ARGENTINA;XXXX;D;;;"2024-03-27"
"002001001003000";BG07;L.Externas 2007;Letras Externas de la Rep. Arg. en $ vto. 12/02/2007 -11,75%-;ARS;"29/01/1997";"12/02/2007";"30";"360";"6412";RA;B;SF07P;USP0450KAB90;ARGENTINA;XXXX;;;;"2024-03-27"
"004016000000000";BOAR;Vencida14;Bono Argentina 1998 Serie 20 (Serie Argentina);USD;"04/04/1995";"04/04/1998";"30";"360";"6700";;B;BOAR;XS0056823478;ARGENTINA;XXXX;;;;"2024-03-27"
"004272000000000";IEP;BONOS TESORO;TITULOS DEL TESORO MEDIANO PLAZO;USD;;;;;;;B;;;;XXXX;;;;"2024-03-27"
"004116000000000";BOTE10;B. DEL TESORO;Bonos del Tesoro 10ma. Serie;USD;"01/04/1990";"01/04/2000";REA;REA;"2189";RA;B;BOT2;ARP04981BS74;ARGENTINA;XXXX;;;;"2024-03-27"
"002001006002000";BT02;BONTES 2002;Bonos del Tesoro a mediano plazo vto. 09/05/2002 -8,75%- PESIFICADO A 1,40;ARS;"09/05/1997";"09/05/2003";"30";"360";"5302";RA;B;BT02;ARARGE031633;ARGENTINA;XXXX;;;;"2024-03-27"
"004124000000000";BX89;BONEX 89;Bonos Externos de la Republica Argentina Serie 1989;USD;"28/12/1989";"28/12/1999";REA;REA;"2282";;B;BX89;ARP04981AC32;ARGENTINA;XXXX;;;;"2024-03-27"
"004126000000000";BXGL01;Bx.GLOBAL 01;Bonos Externos Globales de la Rep. Arg. en u$s vto. 23/02/2001 -9.25%-;USD;"23/02/1996";"23/02/2001";"30";"360";"6501";RA;B;GF01D;US040114AK62;ARGENTINA;XXXX;;;;"2024-03-27"
"002001001001000";BGL06;Bx.GLOBAL 06;Bonos Externos Globales de la Rep. Arg. en u$s vto. 09/10/2006 -11%-;USD;"09/10/1996";"09/10/2006";"30";"360";"1174";RA;B;GO06D;US040114AN02;ARGENTINA;XXXX;;;;"2024-03-27"
"002001001004000";BGL17;Bx.GLOBAL 17;Bonos Externos Globales de la Rep. Arg. en u$s vto. 30/01/2017 -11,375%-;USD;"30/01/1997";"30/01/2017";"30";"360";"1173";RA;B;GE17D;US040114AR16;ARGENTINA;XXXX;;;;"2024-03-27"
"004072000000000";BXGL99;Bx.GLOBAL 99;Bonos Externos Globales de la Rep.Arg. en u$s vto. 01/11/99 -10,95%-;USD;"01/11/1994";"01/11/1999";"30";"360";;RA;B;BGL2;US040114AJ99;ARGENTINA;XXXX;;;;"2024-03-27"
"002001032003000";DISC;DISCOUNT BOND;Bonos de la Rep. Arg. en u$s vto. 31/03/2023 tasa flotante -Garantizados (con desc.);USD;"31/03/1993";"31/03/2023";REA;"360";"1084";RA;B;DISD;XS0043118172;ARGENTINA;XXXX;;;;"2024-03-27"
"001001000000000";GBP;Libra Esterlina;Libra Esterlina;USD;;;;;;UK;M;;;;XXXX;D;;;"2024-03-27"
"001019000000000";JPY;Yenes;Yenes;USD;;;;;;JPY;M;;;;XXXX;D;;;"2024-03-27"
"004003000000000";LETE18;Vencida3;Letras del Tesoro en pesos Vto.20/03/1998;ARS;"21/03/1997";"20/03/1998";;;"5018";;B;LE18;ARARGE031567;ARGENTINA;XXXX;;;;"2024-03-27"
"004005000000000";LETE22;Vencida5;Letras del Tesoro an dolares Vto.19/12/98;USD;"20/06/1997";"19/12/1997";REA;REA;;;B;LE22;;ARGENTINA;XXXX;;;;"2024-03-27"
"004007000000000";LETE24;Vencida6;Letras del Tesoro en pesos Vto.16/01/98;ARS;;"16/01/1998";;;"5024";;B;LE24;ARARGE031708;ARGENTINA;XXXX;;;;"2024-03-27"
"002001004000000";LETES;LETRAS TESORO C;LETRAS DE TESORERIA EN PESOS Y DOLARES;;;;;;;;B;;;;XXXX;;;;"2024-03-27"
"004273000000000";OTROST;OTROS TITULOS;OTROS TITULOS EN PESOS;ARS;;;;;;;B;;;;XXXX;;;;"2024-03-27"
"004307000000000";OTROTD;OTROS TIT USD;;;;;;;;;B;;;;XXXX;;;;"2024-03-27"
"004220000000000";PRE1;VENCIDA PRE1;Bonos de Consolidacion de Deudas Previsionales en moneda nacional Serie 1 $;ARS;"01/04/1991";"01/04/2001";REA;REA;"2197";RA;B;PRE1;ARP04981BT57;ARGENTINA;XXXX;;;;"2024-03-27"
"004222000000000";PRE2;VENCIDA PRE2;Bonos de Consolidacion de Deudas Previsionales en u$s 1era. Serie;USD;"01/04/1991";"01/04/2001";REA;REA;"2196";RA;B;PRE2;ARP04981BU21;ARGENTINA;XXXX;;;;"2024-03-27"
"002001005001000";PRE4;BOCON PRE4;Bono Consolidacion Deuda Previsional en u$s 2da Serie vto. 01/06/2002 - PESIFICADO A 1,40;ARS;"01/09/1992";"01/09/2002";"30";"360";"2225";RA;B;PRE4;ARP04981DG19;ARGENTINA;XXXX;;;;"2024-03-27"
"002004000000000";PRIVA;TITULOS PRIVADO;;;;;;;;;B;;;;XXXX;;;;"2024-03-27"
"002000000000000";TITULO;TITULOS;;USD;;;;;;;B;;;;XXXX;;;;"2024-03-27"
"001002001000000";USB;Dolar Billete;Dolar Billete;ARS;;;;;USD;USA;M;;;USA;XXXX;B;;;"2024-03-27"
"001002002000000";USD;Dolar Divisa;Dolar Divisa;ARS;;;"30";"360";USD;USA;M;;;USA;XXXX;D;;;"2024-03-27"
"004006000000000";LETE26;Vencida7;Letras del Tesoro en dolares Vto.13/02/98;USD;;"13/02/1998";;;"5026";;B;LE26;ARARGE031740;ARGENTINA;XXXX;;;;"2024-03-27"
"002001001002000";BG02;L.Externas 2002;Letras Externas de la Rep. Arg. en $ vto. 10/07/2002 -8,75%-;ARS;"10/07/1997";"10/07/2002";"30";"360";"1416";RA;B;SL02P;USP8055KAP05;ARGENTINA;XXXX;;;;"2024-03-27"
"002004002002000";MUL07;MULTICANAL 2007;MULTICANAL S.A. VTO.01/02/2007 10.50%;USD;"01/08/1997";"01/02/2007";"30";"360";"4046";MULTICANAL;B;MUL2;US62544FAD15;ARGENTINA;XXXX;;;;"2024-03-27"
"002004002009000";MUL2;MULTICANAL 2002;MULTICANAL S.A. VTO.01/02/2002 9.25%;USD;"01/08/1997";"01/02/2002";"30";"360";"1221";MULTICANAL;B;MUL1;US62544FAC32;ARGENTINA;XXXX;;;;"2024-03-27"
"002003005001000";BSAS7;BUENOS AIRES 07;CIUDAD DE BUENOS AIRES VTO.11/04/2007 11.25% - extencion hasta el 11/4/2011 tasa 7;USD;"11/04/1997";"11/04/2011";"30";"360";"1224";GCBA;B;BBA1;XS0074563015;ARGENTINA;DTCF;;;;"2024-03-27"
"002004002007000";IEBA4;INV.ELEC. 2004;INVERSORA ELECTRICA VTO 16/09/2004 9.00%;USD;"24/09/1997";"16/09/2004";"30";"360";"1332";IEBA;B;INVEB;USP52594AB78;ARGENTINA;XXXX;;;;"2024-03-27"
"002004002011000";AUS09;AUSOL009 10,25;AUTOPISTAS DEL SOL S.A. VTO.01/08/2009 10.25%;USD;"31/07/1997";"01/08/2009";"30";"360";;AUTOSOL;B;;USP0605BAB38;ARGENTINA;XXXX;;;;"2024-03-27"
"002003004000000";TPPROV;TIT.PUB. PCIAL.;TITULOS PUBLICOS PROVINCIALES;;;;;;;;B;;;;XXXX;;;;"2024-03-27"
"004043000000000";IRSA99;VENCIDA IRSA99;IRSA VTO 03/03/1999 8,875%;USD;"03/03/1994";"03/03/1999";"30";"360";"1162";;B;;USP58809AA51;ARGENTINA;XXXX;;;;"2024-03-27"
"004078000000000";RIO99N;VENCIDA RIO99N;BCO RIO DE LA PLATA VTO.09/11/99 6MO.LIBOR+75Bp;USD;"11/08/1997";"09/11/1999";REA;"360";"1461";RIO;B;BRI6;US05964MAF14;ARGENTINA;XXXX;;;;"2024-03-27"
"004008000000000";LETE29;Vencida8;Letras del Tesoro en dolares vto.15/05/1998;USD;"14/11/1997";"15/05/1998";REA;"360";"5029";;B;LE29;ARARGE031807;ARGENTINA;XXXX;;;;"2024-03-27"
"002004002017000";GASC2;GASCART 2002;Gascart vto. 30/06/2002;USD;"30/06/1997";"30/06/2002";"30";"360";"1246";GASCART;B;GAS1;XS0078024121;ARGENTINA;XXXX;;;;"2024-03-27"
"002003004002000";MDZA7;MENDOZA 2007;PCIA.DE MENDOZA VTO. 04/09/2007 10.00%;USD;"04/09/1997";"04/09/2007";"30";"360";"6440";PROMENDOZA;B;TMZA2;USP6480JAC10;ARGENTINA;XXXX;;;;"2024-03-27"
"004100000000000";IGAS99;VENCIDA IGAS99;INVERGAS S.A. VTO. 16/12/1999 12.5%;USD;"16/12/1994";"16/12/1999";"30";"360";"1068";CHASE NY;B;;USP57962AA31;ARGENTINA;XXXX;;;;"2024-03-27"
"002003003002000";CEHI2;CEDHIPO SERIE 2;CEDULAS HIPOTECARIAS ARGENT. SERIE 2;ARS;"25/07/1997";"01/07/2049";;;"2119";RA;B;CHA2;ARBHIP080073;ARGENTINA;XXXX;;;;"2024-03-27"
"004193000000000";MTGA00;VENCIDA MTGAS00;METROGAS S.A. VTO.15/08/2000 12.00%;USD;"06/12/1995";"15/08/2000";"30";"360";"1126";METROGAS;B;;US591673AB43;ARGENTINA;XXXX;;;;"2024-03-27"
"002004002025000";TEA04;TELEFONICA 2004;TELEFONICA DE ARGENTINA VTO.01/11/2004 11.875%;USD;"03/11/1994";"01/11/2004";"30";"360";"1182";TELEFONICA;B;;US879378AC15;ARGENTINA;XXXX;;;;"2024-03-27"
"002004002030000";NOR04;SUP.NORTE 2004;SUPERMERCADOS NORTE REGISTRADOS VTO. 09/02/2004 10.875%;USD;"09/02/1997";"09/02/2004";"30";"360";"1175";NORTE;B;;USP8802PAA86;ARGENTINA;XXXX;;;;"2024-03-27"
"002004002036000";PERE7;P.COMPANC 2007;PEREZ COMPANC S.A. VTO.15/07/2007 8.125%;USD;"17/07/1997";"15/07/2007";"30";"360";"1331";PEREZCOMP;B;;USP7705ZAA68;ARGENTINA;DTCF;;;;"2024-03-27"
"002003004003000";TUC04;TUCUMAN 2004;PCIA. DE TUCUMAN VTO.01/08/2004 9.45% - PESIFICADO A 1,40;ARS;"27/08/1997";"01/08/2004";"30";"360";"1269";PROVTUCUMA;B;TUCU2;US89882FAA03;ARGENTINA;XXXX;;;;"2024-03-27"
