"origen";"especie";"rubro_altair";"amount";"nomb";"ddate";"mat";"isin";"tc";"ocig";"gros";"rnm";"partition_date"
especies_manual;TY27P;"1210446";47270812355.71;BOTE 27;"46530";MAT5;ARARGE320C91;"032";;;;"2024-03-27"
Cartera INV;MC49T;"1214569";813840000;MC49T;"45490";MAT3;ARMUCO5201B4;"032";;;;"2024-03-27"
Cartera INV;MGCGO;"1214556";4442512534.366827;ON PAMPA C15;"45484";MAT3;ARPAMP5600H5;"032";;;;"2024-03-27"
Cartera INV;BSCPO;"1214562";2303800000;ON BSF V 2/2/25;"45779";MAT4;AR0957586362;"032";;;;"2024-03-27"
Cartera INV;LOC1O;"1214565";627609600;ON LOMA NEGRA;"45526";MAT3;ARLOMA560033;"032";;;;"2024-03-27"
Cartera TRD;AR30D5;"1250405";1160488.2746352;BON EU 0.5%;"47308";MAT5;XS2200244072;"978";;;;"2024-03-27"
Cartera ALC;PAP0CD;"1210350";20281342.8;PAR$ LEY ARG 2;"50770";MAT5;ARARGE03G712;"032";;;;"2024-03-27"
Cartera INV;TYCYO;"1214554";677340000;ON TOYOTA CL 32;"45697";MAT3;ARTCFA5600T4;"032";;;;"2024-03-27"
especies_manual;TB27C;"1210413";1947663270;TB27C;"46714";MAT5;ARARGE320D33;"032";;;;"2024-03-27"
Cartera INV;MGCJO;"1257702";4298229917.1;ON PAMPA E CL18;"45908";MAT4;ARPAMP5600K9;"840";;;;"2024-03-27"
Cartera INV;TN59O;"1214540";1636137209.1024;ON TN CL 59;"45500";MAT3;ARTANA560196;"032";;;;"2024-03-27"
Cartera INV;RB54O;"1214546";107920000;ON ROMBO S 54;"45436";MAT2;ARROMB5600Q3;"032";;;;"2024-03-27"
especies_manual;X20Y4;"1411060";894000000;LECER V20/05/24;"45432";MAT2;AR0125910452;"032";;;;"2024-03-27"
especies_manual;BPOD7;"1258302";2464542075.09;BOPREAL S 1D;"46691";MAT5;AR0314171247;"840";;;;"2024-03-27"
Cartera TRD;PNQCO;"1210013";508302743.13;ON PAE CL 25;"45730";MAT3;ARAXIO5600W9;"032";;;;"2024-03-27"
especies_manual;T2X5P;"1711431";14426532219;BONCER +4,25%;"45702";MAT3;ARARGE320DI7;"032";;;;"2024-03-27"
especies_manual;T2X5P;"1711430";216013873772;BONCER +4,25%;"45702";MAT3;ARARGE320DI7;"032";;;;"2024-03-27"
