cartera;especie_codigo_sam;secid;rubro_st;valor_nominal;valor_contable;fecha_incorporacion_tenencia;fecha_vencimiento;tipo_valoracion;isin
TRD;ARN38D;NI;1250-405;8118;4241655.0;08/09/2020;09/01/2038;1;NI
TRD;ARN41E;NI;1250-405;151942;58289663.51;08/09/2020;09/07/2041;2;NI
TRD;AR30DR;NI;1250-405;77966;45464302.83;08/09/2020;09/07/2030;2;NI
TRD;AR30D5;NI;1250-405;2191;1160488.27;08/09/2020;09/07/2029;2;NI
TRD;AS30D;NI;1455-453;50000;27434250.2;28/09/2020;09/07/2030;1;NI
TRD;AS30D;NI;1250-405;88931;48795106.08;28/09/2020;09/07/2030;2;NI
ALC;PAP0CD;NI;1210-350;115366;20281342.8;01/08/2017;31/12/2038;2;NI
ALC;PARPCD;NI;1210-350;37888;7019699.2;01/08/2017;31/12/2038;2;NI
ALC;DICP;NI;3219-064;1200000;362850048.0;30/11/2005;31/12/2033;2;NI
TRD;DICP;NI;1210-005;1200000;362850048.0;30/01/2023;31/12/2033;2;NI
ALC;DICPCD;NI;1210-350;477443;144366846.22;01/08/2017;31/12/2033;2;NI
ALC;DIP0CD;NI;1210-350;56448;18006912.0;01/08/2017;31/12/2038;2;NI
ALC;RIOPN2;NI;3651-802;60000000;-46911150.0;01/01/1901;27/03/2027;2;NI
ALC;RIOPN2;NI;3650-802;60000000;-51480000000.0;01/01/1901;27/03/2027;2;NI
ALC;RIOPN3;NI;3651-802;100000000;-1248604500.0;01/01/1901;03/07/2027;2;NI
ALC;RIOPN3;NI;3650-802;100000000;-85800000000.0;01/01/1901;03/07/2027;2;NI
TRD;TVPP;NI;1210-005;17255;1225.11;30/11/2005;15/12/2035;2;NI
ALC;TVPPCD;NI;1210-350;1737512;123363.35;01/08/2017;15/12/2035;2;NI
TRD;TX26;NI;1210-005;77262285;1216880988.75;06/01/2023;09/11/2026;1;NI
TRD;TX26;NI;3219-082;20000000;-315000000.0;06/01/2023;09/11/2026;1;NI
ALC;TX26;NI;3219-064;50000000;787500000.0;01/01/1901;09/11/2026;1;NI
INV;TECHO1;NI;1214-551;1410105;827731.64;25/10/2021;25/10/2025;2;NI
INV;PLZC6O;NI;1214-541;765360;600624532.01;24/02/2021;24/08/2024;2;NI
INV;TLCAO;NI;1214-559;3532800;2766041088.0;10/12/2021;10/05/2025;2;NI
INV;MTCIO;NI;1214-544;4774835;3739252512.56;25/06/2021;25/06/2024;2;NI
INV;PNC10O;NI;1214-558;4171300;3291435544.17;09/04/2021;09/04/2025;2;NI
TRD;T1X4;NI;1210-005;23929594;320519818.96;21/10/2022;26/07/2024;1;NI
TRD;TB24;NI;1210-005;1752933332;2340165998.22;18/04/2022;18/04/2024;2;NI
